Price,Levy,Prod. year,Category,Leather interior,Fuel type,Engine volume,Cylinders,Gear box type,Drive wheels,Color,Airbags,Make model,Mileage (mi)
26657,0,2004,Microbus,No,Diesel,2.2 Turbo,4.0,Manual,Rear,White,1,MERCEDES-BENZ Sprinter,186411
10663,988,2007,Hatchback,No,Petrol,1.5,4.0,Automatic,Front,Silver,6,TOYOTA Prius,197845
12858,765,2015,Sedan,No,Petrol,2,4.0,Automatic,Front,Sky blue,10,FORD Focus SE,56669
1019,917,2013,Jeep,Yes,Diesel,3,6.0,Automatic,4x4,Black,12,BMW X5,85626
12858,0,2016,Hatchback,No,Petrol,1.2,4.0,Manual,Front,Silver,2,KIA Picanto,66487
15000,0,2008,Sedan,Yes,CNG,3,6.0,Tiptronic,Rear,White,12,BMW 328,130741
85553,1156,2017,Jeep,Yes,Petrol,2.3,4.0,Automatic,Front,Black,4,FORD Explorer,62489
44752,1091,2016,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Grey,4,HYUNDAI H1,53438
17158,687,2010,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,White,4,HYUNDAI Elantra,76267
12231,0,2005,Jeep,No,LPG,2.4,4.0,Tiptronic,4x4,White,16,MITSUBISHI Airtrek,89477
11917,11714,2003,Sedan,Yes,Petrol,5,12.0,Tiptronic,Rear,White,12,MERCEDES-BENZ E 500 AMG,93206
1254,0,1997,Sedan,No,Petrol,1.3,4.0,Manual,Rear,Red,0,MITSUBISHI Lancer,62137
25591,640,2013,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Silver,4,SSANGYONG Korando,53254
14897,836,2010,Jeep,Yes,Diesel,2,4.0,Automatic,Front,White,4,HYUNDAI Santa FE,36637
23521,779,2013,Sedan,Yes,Hybrid,2.5,4.0,Tiptronic,Front,White,12,TOYOTA Camry,55923
3450,0,1995,Hatchback,No,Petrol,1.2,3.0,Manual,Front,Green,0,RENAULT Clio,31069
1019,1537,2009,Sedan,Yes,Hybrid,3.3,6.0,Automatic,4x4,Black,12,TOYOTA Highlander,197818
16935,765,2015,Sedan,Yes,Petrol,2,4.0,Automatic,Front,Black,0,FORD Fusion,44399
19444,781,2012,Sedan,Yes,Petrol,2.5,4.0,Tiptronic,Front,Black,6,TOYOTA Camry,0
11604,639,2014,Sedan,Yes,LPG,2,4.0,Automatic,Front,Silver,4,HYUNDAI Sonata,215286
51965,891,2016,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Blue,4,HYUNDAI Santa FE,36981
9408,0,1999,Sedan,No,Diesel,2.2 Turbo,4.0,Manual,Rear,Silver,4,MERCEDES-BENZ C 220,69041
13328,1347,2008,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Yellow,4,HYUNDAI H1,46257
17876,0,2012,Minivan,No,Petrol,2,4.0,Tiptronic,Front,White,12,NISSAN Serena,88856
20071,0,2008,Jeep,No,Petrol,2.4,4.0,Automatic,4x4,Silver,8,TOYOTA RAV 4,83885
22894,862,2011,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Yellow,4,HYUNDAI H1,77326
2901,503,2012,Sedan,Yes,Hybrid,1.5,4.0,Automatic,Front,White,0,HONDA Civic,90971
15681,0,1997,Jeep,No,Petrol,2.4,4.0,Automatic,4x4,Blue,6,MITSUBISHI Pajero,88235
39829,1811,2010,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Black,0,LEXUS GX 460,96823
18660,0,2013,Sedan,Yes,Petrol,2.4,4.0,Tiptronic,Front,Black,6,HYUNDAI Sonata,80778
22580,1017,2017,Sedan,Yes,Petrol,2,4.0,Automatic,Rear,Black,12,MERCEDES-BENZ E 300,31646
11604,639,2014,Sedan,Yes,LPG,2,4.0,Automatic,Front,Silver,4,HYUNDAI Sonata,164584
5488,751,2013,Jeep,Yes,Petrol,2.4,4.0,Automatic,Front,Black,12,GMC TERRAIN,86344
4300,0,1985,Universal,No,Diesel,2.5,4.0,Manual,Rear,Black,1,MERCEDES-BENZ 208,690412
18817,609,2018,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,White,12,TOYOTA Camry,21784
21169,697,2015,Jeep,No,Petrol,1.8,4.0,Automatic,4x4,Grey,8,HONDA Hr-v EX,20710
9095,0,2011,Coupe,No,Petrol,1.2,4.0,Automatic,Front,Red,4,FIAT 500,87613
1568,639,2014,Sedan,Yes,Diesel,2,4.0,Automatic,Front,Silver,12,VOLKSWAGEN Jetta,51196
3136,0,2005,Goods wagon,No,Petrol,2.0 Turbo,6.0,Tiptronic,4x4,Blue,6,SUBARU Legacy,111847
17876,585,2013,Sedan,Yes,Petrol,1.8,4.0,Tiptronic,Front,Grey,12,HYUNDAI Elantra sport limited,73272
11290,891,2016,Sedan,Yes,LPG,2,4.0,Automatic,Front,Silver,4,HYUNDAI Sonata,173852
36065,1399,2010,Minivan,Yes,Petrol,3.5,6.0,Tiptronic,Front,White,16,TOYOTA Sienna,141175
21395,781,2012,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Silver,4,HYUNDAI H1,103237
15681,891,2016,Sedan,Yes,LPG,2,4.0,Automatic,Front,Silver,4,HYUNDAI Sonata,160752
40070,690,2016,Hatchback,Yes,Petrol,1.5,4.0,Automatic,Front,Black,4,TOYOTA Aqua,16036
11917,0,2008,Hatchback,No,Petrol,1.7,4.0,Automatic,Front,Golden,8,MERCEDES-BENZ A 170,111847
72130,1079,2018,Jeep,Yes,Petrol,2.0 Turbo,4.0,Tiptronic,Front,Black,6,LEXUS NX 300,11755
35927,640,2013,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Silver,4,SSANGYONG REXTON,85294
21012,308,2014,Sedan,No,Hybrid,1.8,4.0,Automatic,4x4,White,4,TOYOTA Prius,99419
21012,1823,2018,Sedan,Yes,Petrol,3.5,6.0,Automatic,Front,Grey,12,TOYOTA Tacoma,16999
13172,1361,2009,Minivan,Yes,Diesel,2.9,4.0,Automatic,Front,White,6,KIA Carnival grand,52305
15624,707,2011,Coupe,Yes,Petrol,2,4.0,Automatic,Front,Grey,4,HYUNDAI Genesis,66490
4547,0,1997,Sedan,No,Petrol,1.6,4.0,Manual,Front,Beige,2,OPEL Vectra,9321
5488,1273,2015,Jeep,Yes,Petrol,3.5,6.0,Automatic,4x4,Black,12,INFINITI QX60,77146
20005,531,2012,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,White,4,HYUNDAI Elantra,65242
36110,924,2017,Sedan,Yes,Petrol,1.8,6.0,Tiptronic,Front,Silver,8,VOLKSWAGEN Passat,17229
7840,0,1998,Sedan,Yes,Petrol,2.4,6.0,Manual,Rear,Blue,4,MERCEDES-BENZ E 240 E 240,483288
1300,0,2018,Coupe,Yes,Petrol,0.5,1.0,Tiptronic,Rear,Blue,0,AUDI 50,2485
43880,891,2016,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Silver,4,HYUNDAI Santa FE,70650
29479,584,2014,Sedan,Yes,Petrol,1.8 Turbo,4.0,Tiptronic,Rear,Grey,8,MERCEDES-BENZ C 250,42875
17249,0,2011,Sedan,Yes,Hybrid,2.5,4.0,Variator,Front,White,12,TOYOTA Camry,94448
9408,0,2003,Universal,No,Petrol,1.5,4.0,Automatic,4x4,Silver,2,TOYOTA Vitz funkargo,113044
44213,891,2016,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Red,4,HYUNDAI Santa FE,31227
8467,2078,2001,Sedan,Yes,Petrol,2.5,6.0,Manual,Rear,Grey,6,BMW 325,157083
21950,831,2011,Goods wagon,No,Diesel,2.4 Turbo,4.0,Manual,4x4,White,2,FORD Transit,77671
3136,473,2014,Sedan,Yes,Petrol,1.4,4.0,Automatic,Front,Black,12,CHEVROLET Cruze,97550
3450,0,1995,Sedan,No,CNG,2,4.0,Manual,Front,White,2,OPEL Vectra,0
9408,0,1998,Jeep,No,Petrol,3.5 Turbo,6.0,Tiptronic,4x4,Silver,4,MITSUBISHI Pajero,6835
31500,0,2010,Jeep,Yes,LPG,4,6.0,Tiptronic,4x4,Black,12,NISSAN Pathfinder,56048
20385,0,2005,Minivan,Yes,Petrol,3,6.0,Automatic,4x4,White,12,MITSUBISHI Delica,114332
2300,0,1996,Sedan,No,CNG,2,4.0,Manual,Front,Green,0,VOLKSWAGEN Golf,0
7840,0,2004,Universal,No,LPG,1.9,4.0,Tiptronic,Front,Silver,4,MERCEDES-BENZ Vaneo,105633
56450,0,2018,Sedan,Yes,Petrol,2.5,4.0,Tiptronic,Front,Blue,12,TOYOTA Camry Se,15534
1490,639,2014,Universal,Yes,Diesel,2,4.0,Automatic,Front,Grey,12,VOLKSWAGEN Jetta,70348
13172,0,2002,Jeep,No,Petrol,2.4,4.0,Automatic,4x4,Silver,6,HONDA Cr-v,161556
19757,0,1990,Jeep,No,Diesel,2.8 Turbo,4.0,Manual,Rear,Black,0,NISSAN Patrol Y60,138082
4704,917,2013,Hatchback,Yes,Petrol,3,6.0,Automatic,4x4,Grey,0,AUDI A7,187472
5802,1055,2013,Sedan,Yes,Diesel,3.5,6.0,Automatic,Rear,Grey,12,MERCEDES-BENZ E 350,66984
25716,777,2014,Sedan,No,Petrol,2.5,4.0,Automatic,Front,Silver,8,TOYOTA Camry,71582
14426,642,2012,Jeep,Yes,LPG,2,4.0,Automatic,Front,White,4,CHEVROLET Orlando,82043
10820,0,2001,Jeep,No,Petrol,2,4.0,Automatic,4x4,Silver,4,TOYOTA RAV 4,56545
45436,1172,2011,Jeep,Yes,Petrol,3.5,4.0,Automatic,Front,White,4,FORD Explorer,80267
11917,893,2008,Hatchback,No,Diesel,1.6,4.0,Manual,Front,Black,8,HYUNDAI I30,124896
41281,765,2015,Jeep,Yes,Diesel,2,4.0,Automatic,Front,Black,4,HYUNDAI Santa FE,115458
4391,0,1998,Sedan,No,Petrol,2.4,4.0,Manual,Front,Brown,2,NISSAN Altima,222699
3058,1872,2018,Sedan,Yes,Petrol,3.6,6.0,Automatic,4x4,White,12,PORSCHE Cayenne,18000
3700,0,2001,Coupe,Yes,Petrol,1.8,4.0,Manual,Front,Black,4,ALFA ROMEO 147,149129
15681,0,2008,Jeep,No,Petrol,1.6,4.0,Automatic,4x4,Black,12,SUZUKI Grand Vitara,60894
6586,645,2011,Hatchback,Yes,Hybrid,1.8,4.0,Automatic,Front,Black,0,LEXUS CT 200h,75995
12544,0,2007,Hatchback,No,Hybrid,1.5,4.0,Automatic,Front,Beige,6,TOYOTA Prius,86992
30063,639,2014,Jeep,Yes,Diesel,2,4.0,Automatic,Front,White,4,HYUNDAI Tucson,74565
72130,1885,2010,Hatchback,Yes,Petrol,4.8,8.0,Tiptronic,4x4,White,8,PORSCHE Panamera,122286
21639,0,2015,Hatchback,No,Petrol,1.6,4.0,Tiptronic,Front,Red,10,HYUNDAI Veloster,10688
36692,0,2013,Jeep,No,Petrol,2.5,4.0,Tiptronic,Front,White,0,TOYOTA RAV 4 XLE Sport,74565
12231,1266,2014,Hatchback,No,Hybrid,1.5,4.0,Variator,Front,Silver,4,TOYOTA Aqua,41010
3136,0,2004,Sedan,No,Petrol,1.5,4.0,Variator,Front,Beige,4,TOYOTA Sienta,186411
10663,0,2009,Sedan,Yes,Hybrid,1.8,4.0,Variator,Front,Grey,6,TOYOTA Prius,142915
5620,447,2013,Hatchback,Yes,Petrol,1.3,4.0,Automatic,Front,White,4,HONDA FIT,68641
19130,2148,2010,Sedan,Yes,Petrol,5.5,4.0,Automatic,Front,Grey,10,MERCEDES-BENZ CLS 550,97555
9408,1111,2012,Hatchback,No,Hybrid,1.3,4.0,Variator,Front,Black,4,HONDA FIT,39768
15367,640,2013,Sedan,Yes,Diesel,2.0 Turbo,4.0,Tiptronic,Front,White,16,VOLKSWAGEN Passat,111350
5959,1730,2011,Sedan,Yes,Petrol,5.3,8.0,Automatic,Front,Black,12,CHEVROLET Avalanche,153464
26594,777,2014,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Silver,4,HYUNDAI H1,111796
36065,779,2013,Sedan,Yes,Hybrid,2.5,4.0,Tiptronic,Front,Beige,12,TOYOTA Avalon LIMITED,57290
26343,730,2016,Sedan,Yes,Diesel,1.6 Turbo,4.0,Tiptronic,Front,Silver,8,KIA Cerato K3,18020
6000,0,1993,Jeep,No,Petrol,4,6.0,Automatic,4x4,Green,5,JEEP Grand Cherokee,149129
40142,1811,2010,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Grey,0,LEXUS GX 470,221982
14000,585,2013,Sedan,No,Petrol,1.8,4.0,Tiptronic,Front,Grey,10,HYUNDAI Elantra,31069
17923,473,2014,Sedan,Yes,Petrol,1.4,4.0,Automatic,Front,White,4,CHEVROLET Cruze,79437
54518,831,2017,Jeep,Yes,Petrol,1.6,4.0,Automatic,Front,Black,4,HYUNDAI Tucson,24975
10349,0,2003,Hatchback,No,Petrol,1.6,4.0,Manual,Front,Silver,6,OPEL Astra G,111847
8154,0,2002,Hatchback,No,Petrol,1.3,4.0,Automatic,Front,Silver,7,TOYOTA Ist,71458
7527,640,2013,Sedan,Yes,Diesel,2,4.0,Automatic,Front,Grey,12,VOLKSWAGEN Passat,82214
3450,1249,2017,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,White,12,TOYOTA Camry,37756
22063,836,2010,Jeep,Yes,Diesel,2,4.0,Automatic,Front,White,4,HYUNDAI Tucson,88399
2901,503,2012,Sedan,Yes,Hybrid,1.5,4.0,Automatic,Front,White,0,HONDA Civic,90971
4704,585,2013,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Silver,12,TOYOTA Corolla,141282
5331,0,2002,Sedan,Yes,Petrol,2.8,6.0,Manual,Front,Grey,6,VOLKSWAGEN Passat,108740
16900,502,2013,Hatchback,Yes,Petrol,1.5,4.0,Automatic,Front,Blue,4,HONDA FIT,43496
18189,0,2010,Jeep,Yes,Petrol,2.5,4.0,Automatic,4x4,Silver,4,NISSAN Rogue,75807
5331,0,2000,Minivan,No,Petrol,2.5,4.0,Automatic,Front,Green,4,MAZDA MPV,78914
42651,1017,2017,Jeep,Yes,Petrol,2,4.0,Automatic,4x4,Black,0,MERCEDES-BENZ GLA 250,27959
15524,586,2012,Hatchback,No,Hybrid,1.8,4.0,Automatic,Front,Red,7,TOYOTA Prius,76009
17249,0,2007,Sedan,Yes,Petrol,3,6.0,Tiptronic,Rear,Grey,10,BMW 530,69041
73071,0,2013,Sedan,Yes,Petrol,3.5,6.0,Tiptronic,Rear,Black,12,LEXUS GS 350,34797
28909,831,2017,Sedan,Yes,Diesel,1.6,4.0,Automatic,Front,White,4,HYUNDAI Elantra,60894
8467,642,2012,Sedan,Yes,LPG,2,4.0,Automatic,Front,Black,4,HYUNDAI Sonata,356200
14426,639,2014,Sedan,Yes,LPG,2,4.0,Automatic,Front,White,4,HYUNDAI Sonata,105027
9000,1325,2011,Minivan,No,Petrol,1.4,4.0,Automatic,Front,Silver,6,VOLKSWAGEN Sharan,78293
30734,1053,2014,Sedan,Yes,Diesel,3.5,6.0,Automatic,4x4,Black,12,MERCEDES-BENZ E 350,124385
22580,779,2013,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,Black,12,TOYOTA Camry,97348
7464,247,2014,Hatchback,Yes,Hybrid,1.3,4.0,Automatic,Front,Blue,4,HONDA FIT,71427
1333,1091,2016,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,Black,12,FORD Fusion,96219
59865,879,2019,Jeep,Yes,Diesel,1.6,4.0,Automatic,Front,White,4,HYUNDAI Tucson,8078
49237,1342,2017,Jeep,Yes,Petrol,2.7,4.0,Automatic,Rear,White,12,TOYOTA Tacoma,58572
68223,1327,2018,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Yellow,4,HYUNDAI H1,17029
7683,0,2006,Sedan,Yes,CNG,1.8,4.0,Variator,Front,Silver,2,NISSAN Tiida,124274
22266,0,2013,Sedan,Yes,Petrol,1.6 Turbo,4.0,Automatic,Front,Black,8,FORD Fusion,53127
2430,1598,2008,Sedan,Yes,Diesel,3,6.0,Automatic,Rear,Black,12,MERCEDES-BENZ E 350,109121
33556,765,2015,Sedan,Yes,Petrol,2,4.0,Automatic,Rear,Black,12,MERCEDES-BENZ C 300,0
39161,831,2017,Jeep,Yes,Diesel,1.6,4.0,Automatic,Front,White,4,SSANGYONG Actyon,45360
16308,0,2008,Microbus,No,Diesel,2.2,4.0,Manual,Front,White,2,FORD Transit,111847
17719,0,2009,Sedan,Yes,Hybrid,2.4,4.0,Tiptronic,Front,Sky blue,8,TOYOTA Camry,57166
43278,1514,2011,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,White,0,LEXUS GX 460,99505
20385,738,2017,Sedan,No,Petrol,1.4 Turbo,4.0,Tiptronic,Front,Black,12,CHEVROLET Cruze,26098
49858,1077,2019,Jeep,Yes,Diesel,2,4.0,Automatic,Front,White,4,HYUNDAI Tucson,29826
8781,0,1998,Minivan,Yes,Diesel,3.2 Turbo,4.0,Automatic,4x4,White,4,NISSAN Elgrand,142915
9722,765,2015,Sedan,Yes,LPG,2,4.0,Automatic,Front,Orange,4,HYUNDAI Sonata,361872
21326,0,2006,Sedan,Yes,Petrol,5,8.0,Automatic,Rear,Grey,12,MERCEDES-BENZ CLS 500,1243
51075,1017,2017,Jeep,Yes,Diesel,2,4.0,Automatic,Front,White,4,HYUNDAI Tucson,25352
15241,707,2011,Coupe,Yes,Petrol,2,4.0,Automatic,Front,Grey,4,HYUNDAI Genesis,73006
2587,382,2015,Sedan,Yes,Hybrid,2,4.0,Automatic,Front,Black,0,FORD Fusion,55175
15524,1347,2008,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Silver,4,HYUNDAI H1,35275
27911,0,2014,Sedan,Yes,Petrol,1.8 Turbo,4.0,Tiptronic,Rear,Beige,8,MERCEDES-BENZ C 250,43496
4861,779,2013,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Blue,12,TOYOTA Camry,85041
